rayon;metro
Академический;Академическая,Профсоюзная
Алексеевский;Алексеевская,ВДНХ
Алтуфьевский;Бибирево
Арбат;Александровский сад,Арбатская,Библиотека имени Ленина,Боровицкая,Смоленская
Аэропорт;Аэропорт,Динамо,Сокол
Бабушкинский;Бабушкинская
Басманный;Бауманская,Китай-город,Красные ворота,Курская,Чистые пруды,Чкаловская
Беговой;Беговая,Петровскийпарк,Белорусская
Бескудниковский;Селигерская,Верхние лихоборы,Окружная
Бибирево;Алтуфьево,Бибирево
Бирюлёво Восточное;Царицыно,Орехово
Бирюлёво Западное;Анино,Улица Академика Янгеля
Богородское;Бульвар Рокосовского,Белокаменная,Ростокино
Братеево;Борисово,Алма-Атинская
Бутырский;Дмитровская,Савёловская,Тимирязевская
Вешняки;Выхино,Рязанский проспект,Новогиреево,Новокосино
Внуково;
Войковский;Водный стадион,Войковская
Восточное Дегунино;Верхние Лихоборы,Селигерская,
Восточное Измайлово;Первомайская,Щелковская,Измайловская
Восточный;
Выхино-Жулебино;Жулебино,Косино,Выхино,Рязанский проспект
Гагаринский;Ленинский проспект,Университет
Головинский;Лихоборы,Коптево,Водный стадион,Речной вокзал
Гольяново;Водный стадион,Коптево,Лихоборы,Речной вокзал
Даниловский;Автозаводская,Тульская
Дмитровский;
Донской;Ленинский проспект,Шаболовская
Дорогомилово;Киевская,Кутузовская,Парк Победы,Студенческая
Замоскворечье;Добрынинская,Новокузнецкая,Павелецкая,Серпуховская,Третьяковская
Западное Дегунино;Верхние Лихоборы,Селигерская,Лихоборы,Окружная,Ховрино
Зюзино;Каховская,Нахимовский проспект,Севастопольская,Чертановская
Зябликово;Зябликово,Красногвардейская,Шипиловская
Ивановское;Измайловская,Первомайская,Новогиреево
Измайлово;Измайловская,Партизанская,Первомайская
Капотня;Алма-Атинская
Коньково;Беляево,Калужская,Коньково
Коптево;Коптево,Лихоборы
Косино-Ухтомский;Косино,Улица Дмитриевского,Лухмановская
Котловка;Нахимовский проспект,Нагорная,Нагатинская,Верхние котлы,Крымская
Красносельский;Комсомольская,Красносельская,Сретенский бульвар,Сухаревская,Тургеневская
Крылатское;Крылатское
Крюково;
Кузьминки;Кузьминки,Волжская,Текстильщики,Рязанский проспект
Кунцево;Кунцевская,Молодёжная
Куркино;
Левобережный;Речной  вокзал,Беломорская,ховрино
Лефортово;Андроновка,Авиамоторная,Площадь Ильича
Лианозово;Алтуфьево,Бибирево
Ломоносовский;Проспект Вернадского,Университет,Профсоюзная,Новые Черемушки
Лосиноостровский;Бабушкинская,Медведково
Люблино;Люблино,Волжская,Братиславская
Марфино;владыкино,Окружная,Петрово-Разумовская,Фонвизинская
Марьина роща;Марьина роща,Савёловская
Марьино;Братиславская,Марьино
Метрогородок;Бульвар Рокосовского,Белокаменная,Ростокино
Мещанский;Красные ворота,Кузнецкий мост,Проспект Мира,Рижская,Сухаревская,Трубная
Митино;Волоколамская,Митино
Можайский;Кунцевская
Молжаниновский;
Москворечье-Сабурово;Варшавская,Каширская
Нагатино-Садовники;Каширская,Коломенская
Нагатинский затон;Автозаводская,Технопарк,Коломенская,Каширская
Нагорный;Варшавская,Нагатинская,Нагорная
Некрасовка;Некрасовка
Нижегородский;Нижегородская,Волгоградский проспект,Новохохловская
Ново-Переделкино;Новопеределкино,Боровское Шоссе,Рассказовка
Новогиреево;Новогиреево,Перово
Новокосино;Новокосино
Обручевский;Калужская,Новые Черёмушки
Орехово-Борисово Северное;Домодедовская,Орехово
Орехово-Борисово Южное;Домодедовская,Красногвардейская
Останкинский;Алексеевская,ВДНХ,Ботанический сад,Владыкино,Окружная,Петрово-Разумовская,Бутырская
Отрадное;Владыкино,Отрадное
Очаково-Матвеевское;Озерная,Минская,Мичуринский проспект
Перово;Перово,Шоссе Энтузиастов
Печатники;Октябрьская,Полянка,Добрынинская,Новокузнецкая,Кропотнинская,Парк культуры,Шаболовская
Покровское-Стрешнево;Тушинская,Спартак,Щукинская,Стрешево,Балтийская,Войковская,Волокаламская
Преображенское;Преображенская площадь,Черкизовская
