who1;who;text
2;1;Классно выглядишь солнышко!
2;1;Очаровашка!
2;1;Класс....от души.
2;1;красивая! по3накомимся?
2;1;Прелесть!
2;1;лапочка
2;1;Вы красивая. Желанная. Милая.
2;1;Чудная.
2;1;Класс
2;1;Миоя вы прекрасны!!!!
2;1;Классная женщина...
2;1;Ну прям невеста!
2;1;Комментарий объективное,если хороша,значит так есть! Еще раз удачи!
2;1;Выглядете прекрасно! Удачи вам!
2;1;А вы хорошо выглядите
2;1;Добрыи день Свитлана!
2;1;Красивая.
2;1;Позвоните. Мой номер 777696
2;1;Жизнелюбие бьёт ключом!
2;1;Прелестна и очаровательная леди.
2;1;Вы обвоиожительны
2;1;Видно цветок только начал распускаться...,дальше видно будет полный цвет!
2;2;Спасибо
2;1;Выглядете прекрасно!
2;1; Секса
2;1;Пообщаемся
2;1;Хорошенькая такая!
2;1;Красотка!!!
2;1;Привет!
2;1;Хорошенькая!
2;1;вы просто красавица
2;1;Симпатичная девчонка!
2;1;Напиши мне я отвечу
2;1;Привет напиши мне в сайт
2;1;привет
2;1;Взгляд красивый,да и сама великолепна!
2;1;Вы прекрасны.
2;1;НАПИШИТЕ МНЕ В ЛИЧКУ
2;1;Милая приятная женщина
2;1;Роскошная !!!!
2;1;Такую девочку любить достойны только БОГИ однажды испытав обратной не будет дороги от наслаждения Души -Тела -Здоровья -Удовольствия !!!)))
2;2;Спасибо, стараюсь
2;1;Красивая женщина супер
2;1;Секси
2;1;Доброе утро Лариса
2;2;Ничего страшного, Нурлан . Извините , что позволила себе поправить Вас . Это да, Т 9 мудрит .
2;1;Извиняюсь это мой телефон живёт немного своей жизнью. Не углядел,а он переправил.
2;2;Эффектно (простите , конечно)
2;1;Очень эффективно выглядите.
2;1;Приятная женщина
2;1;Прекрасно выглядишь просто супер красотка !
2;1;Привет добрий ден красавица
2;1;напиши мне
2;1;Просто королева
2;1;Хорошо выглядешь
2;1;Ну очень сексуальная девушка !
2;1;Прекрасно выглядишь
2;1;Красотка
2;1;Очаровательная
2;1;Напиши мне
2;1;Хороша
2;1;Красотка!)
2;1;Симпатичная
2;1;Очаровательная
2;1;Тебе я не дал бы эти годы ты проста супер
2;1;Красивая женщина
2;1;Вы очень симпатичная
2;1;вы очень красиво выглядите!
2;1;Очень приятная женщина
2;1;Королева!!!
2;1;краса как я по тебе соскучился
2;1;Привет красивая давай дружить
2;1;СИМПАТИЧНАЯ ДАМА
2;1;Хорошенькая девочка
2;1;Приятная женщина!
2;1;Ты очень красивая женщина можно позвонить тебе?
2;1;А боярыня то устами червлена. Да бровями союзна. Ляпотааа.!
2;1;Шикарная женщина
2;1;Вы очень красивая девушка и прекрасно выглядите
2;1;Привет пиши
2;1;Ух ты
2;1;хороша
2;1;Вы очень душевная. От вас идет очень положительная энергия души.
2;1;Ольга ,просто сливаешься с природой в одно целое
2;1;Шикарная красавица! Ты Прелесть!
2;1;Очень милая приятная девушка 
2;1;Очаровательная
2;1;А я про другое подумал!
2;1;странно, Из 12ти выложенных Вами фото, 8мь с разведенными или поднятыми руками? Почему?
2;1;Дива очарованна Красотою
2;2;Всегда на позитиве
2;1;хороша
2;1;Проста супер
2;1;Хорошенькая!
2;1;"\""Вкус\"" тут ни при чем! Не штампуйте, ведь и на свои слова ума хватает."
2;1;Очень удачное фото!
2;1;Напиши мне
2;1;Вау...какая очаровательная Леди!!!
2;1;Ольга вы красавица вы просто супер мая корольвна?
2;1;Для приятной женщины всю жизнь пятёрочки бы ставил
2;1;А как пригласить на чай
